sample-id	absolute-filepath	Group	Colour
II8-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/II8-7d.341F_806R.fastq.gz	Z1	#D4D4D4
II9-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/II9-0d.341F_806R.fastq.gz	Z1	#D4D4D4
II9-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/II9-14d.341F_806R.fastq.gz	Z1	#D4D4D4
II9-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/II9-1d.341F_806R.fastq.gz	Z1	#D4D4D4
II9-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/II9-7d.341F_806R.fastq.gz	Z1	#D4D4D4
III15-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/III15-14d.341F_806R.fastq.gz	Z1	#D4D4D4
III15-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/III15-7d.341F_806R.fastq.gz	Z1	#D4D4D4
III16-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/III16-14d.341F_806R.fastq.gz	Z1	#D4D4D4
III16-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/III16-7d.341F_806R.fastq.gz	Z1	#D4D4D4
III17-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/III17-14d.341F_806R.fastq.gz	Z1	#D4D4D4
III17-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/III17-7d.341F_806R.fastq.gz	Z1	#D4D4D4
III18-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/III18-14d.341F_806R.fastq.gz	Z1	#D4D4D4
III18-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/III18-7d.341F_806R.fastq.gz	Z1	#D4D4D4
III19-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/III19-14d.341F_806R.fastq.gz	Z1	#D4D4D4
III19-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/III19-7d.341F_806R.fastq.gz	Z1	#D4D4D4
III20-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/III20-14d.341F_806R.fastq.gz	Z1	#D4D4D4
III20-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/III20-7d.341F_806R.fastq.gz	Z1	#D4D4D4
III21-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/III21-14d.341F_806R.fastq.gz	Z1	#D4D4D4
III21-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/III21-7d.341F_806R.fastq.gz	Z1	#D4D4D4
IV22-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/IV22-14d.341F_806R.fastq.gz	Z1	#D4D4D4
IV22-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/IV22-1d.341F_806R.fastq.gz	Z1	#D4D4D4
IV22-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/IV22-7d.341F_806R.fastq.gz	Z1	#D4D4D4
IV23-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/IV23-14d.341F_806R.fastq.gz	Z1	#D4D4D4
IV23-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/IV23-1d.341F_806R.fastq.gz	Z1	#D4D4D4
IV23-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/IV23-7d.341F_806R.fastq.gz	Z1	#D4D4D4
IV24-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/IV24-14d.341F_806R.fastq.gz	Z1	#D4D4D4
IV24-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/IV24-1d.341F_806R.fastq.gz	Z1	#D4D4D4
IV24-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/IV24-7d.341F_806R.fastq.gz	Z1	#D4D4D4
IV25-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/IV25-14d.341F_806R.fastq.gz	Z1	#D4D4D4
IV25-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/IV25-1d.341F_806R.fastq.gz	Z1	#D4D4D4
IV25-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/IV25-7d.341F_806R.fastq.gz	Z1	#D4D4D4
IV26-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/IV26-14d.341F_806R.fastq.gz	Z1	#D4D4D4
IV26-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/IV26-1d.341F_806R.fastq.gz	Z1	#D4D4D4
IV26-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/IV26-7d.341F_806R.fastq.gz	Z1	#D4D4D4
IV27-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/IV27-14d.341F_806R.fastq.gz	Z1	#D4D4D4
IV27-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/IV27-1d.341F_806R.fastq.gz	Z1	#D4D4D4
IV27-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/IV27-7d.341F_806R.fastq.gz	Z1	#D4D4D4
IV28-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/IV28-14d.341F_806R.fastq.gz	Z1	#D4D4D4
IV28-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/IV28-7d.341F_806R.fastq.gz	Z1	#D4D4D4
L108-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L108-14d.341F_806R.fastq.gz	Z1	#D4D4D4
L108-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L108-7d.341F_806R.fastq.gz	Z1	#D4D4D4
L108-7d-new	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L108-7d-new.341F_806R.fastq.gz	Z1	#D4D4D4
L50-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L50-0d.341F_806R.fastq.gz	Z1	#D4D4D4
L50-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L50-14d.341F_806R.fastq.gz	Z1	#D4D4D4
L50-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L50-1d.341F_806R.fastq.gz	Z1	#D4D4D4
L50-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L50-7d.341F_806R.fastq.gz	Z1	#D4D4D4
L51-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L51-0d.341F_806R.fastq.gz	Z1	#D4D4D4
L51-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L51-14d.341F_806R.fastq.gz	Z1	#D4D4D4
L51-14d-new	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L51-14d-new.341F_806R.fastq.gz	Z1	#D4D4D4
L51-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L51-1d.341F_806R.fastq.gz	Z1	#D4D4D4
L51-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L51-7d.341F_806R.fastq.gz	Z1	#D4D4D4
L52-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L52-0d.341F_806R.fastq.gz	Z1	#D4D4D4
L52-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L52-14d.341F_806R.fastq.gz	Z1	#D4D4D4
L52-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L52-1d.341F_806R.fastq.gz	Z1	#D4D4D4
L52-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L52-7d.341F_806R.fastq.gz	Z1	#D4D4D4
L53-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L53-0d.341F_806R.fastq.gz	Z1	#D4D4D4
L53-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L53-14d.341F_806R.fastq.gz	Z1	#D4D4D4
L53-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L53-1d.341F_806R.fastq.gz	Z1	#D4D4D4
L53-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L53-7d.341F_806R.fastq.gz	Z1	#D4D4D4
L54-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L54-0d.341F_806R.fastq.gz	Z1	#D4D4D4
L54-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L54-14d.341F_806R.fastq.gz	Z1	#D4D4D4
L54-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L54-1d.341F_806R.fastq.gz	Z1	#D4D4D4
L54-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L54-7d.341F_806R.fastq.gz	Z1	#D4D4D4
L55-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L55-0d.341F_806R.fastq.gz	Z1	#D4D4D4
L55-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L55-14d.341F_806R.fastq.gz	Z1	#D4D4D4
L55-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L55-1d.341F_806R.fastq.gz	Z1	#D4D4D4
L55-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/L55-7d.341F_806R.fastq.gz	Z1	#D4D4D4
M109-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M109-14d.341F_806R.fastq.gz	Z1	#D4D4D4
M109-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M109-7d.341F_806R.fastq.gz	Z1	#D4D4D4
M56-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M56-0d.341F_806R.fastq.gz	Z1	#D4D4D4
M56-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M56-14d.341F_806R.fastq.gz	Z1	#D4D4D4
M56-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M56-1d.341F_806R.fastq.gz	Z1	#D4D4D4
M56-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M56-7d.341F_806R.fastq.gz	Z1	#D4D4D4
M57-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M57-0d.341F_806R.fastq.gz	Z1	#D4D4D4
M57-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M57-14d.341F_806R.fastq.gz	Z1	#D4D4D4
M57-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M57-1d.341F_806R.fastq.gz	Z1	#D4D4D4
M57-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M57-7d.341F_806R.fastq.gz	Z1	#D4D4D4
M58-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M58-0d.341F_806R.fastq.gz	Z1	#D4D4D4
M58-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M58-14d.341F_806R.fastq.gz	Z1	#D4D4D4
M58-14d-new	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M58-14d-new.341F_806R.fastq.gz	Z1	#D4D4D4
M58-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M58-1d.341F_806R.fastq.gz	Z1	#D4D4D4
M58-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M58-7d.341F_806R.fastq.gz	Z1	#D4D4D4
M59-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M59-0d.341F_806R.fastq.gz	Z1	#D4D4D4
M59-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M59-14d.341F_806R.fastq.gz	Z1	#D4D4D4
M59-14d-new	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M59-14d-new.341F_806R.fastq.gz	Z1	#D4D4D4
M59-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M59-1d.341F_806R.fastq.gz	Z1	#D4D4D4
M59-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M59-7d.341F_806R.fastq.gz	Z1	#D4D4D4
M60-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M60-0d.341F_806R.fastq.gz	Z1	#D4D4D4
M60-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M60-14d.341F_806R.fastq.gz	Z1	#D4D4D4
M60-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M60-1d.341F_806R.fastq.gz	Z1	#D4D4D4
M60-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M60-7d.341F_806R.fastq.gz	Z1	#D4D4D4
M60-7d-new	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M60-7d-new.341F_806R.fastq.gz	Z1	#D4D4D4
M61-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M61-0d.341F_806R.fastq.gz	Z1	#D4D4D4
M61-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M61-14d.341F_806R.fastq.gz	Z1	#D4D4D4
M61-14d-new	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M61-14d-new.341F_806R.fastq.gz	Z1	#D4D4D4
M61-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M61-1d.341F_806R.fastq.gz	Z1	#D4D4D4
M61-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/M61-7d.341F_806R.fastq.gz	Z1	#D4D4D4
N110-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/N110-14d.341F_806R.fastq.gz	Z1	#D4D4D4
N110-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/N110-7d.341F_806R.fastq.gz	Z1	#D4D4D4
N62-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/N62-14d.341F_806R.fastq.gz	Z1	#D4D4D4
N62-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/N62-7d.341F_806R.fastq.gz	Z1	#D4D4D4
N63-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/N63-14d.341F_806R.fastq.gz	Z1	#D4D4D4
N63-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/N63-7d.341F_806R.fastq.gz	Z1	#D4D4D4
N64-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/N64-14d.341F_806R.fastq.gz	Z1	#D4D4D4
N64-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/N64-7d.341F_806R.fastq.gz	Z1	#D4D4D4
N65-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/N65-14d.341F_806R.fastq.gz	Z1	#D4D4D4
N65-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/N65-7d.341F_806R.fastq.gz	Z1	#D4D4D4
N66-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/N66-14d.341F_806R.fastq.gz	Z1	#D4D4D4
N66-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/N66-7d.341F_806R.fastq.gz	Z1	#D4D4D4
N67-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/N67-14d.341F_806R.fastq.gz	Z1	#D4D4D4
N67-7d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/N67-7d.341F_806R.fastq.gz	Z1	#D4D4D4
O68-0d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O68-0d.341F_806R.fastq.gz	Z1	#D4D4D4
O68-14d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O68-14d.341F_806R.fastq.gz	Z1	#D4D4D4
O68-1d	/home/Metagenome/LiuQ/16s/FS1108/0_raw_data/O68-1d.341F_806R.fastq.gz	Z1	#D4D4D4
